"variable","Freq","Mean_imp","Median_imp","se","MP_ID","gtdb_sp_name","ncbi_sp_name","dataset","Time"
"Oscillospiraceae.bacterium.VE202.24_Screening",0.01,0.00773523809523809,0.00773523809523809,NA,NA,NA,NA,"Mic_Species","Screening"
"Parabacteroides.distasonis_Screening",0.06,0.0151954497354497,0.0106478571428572,0.00352207799560138,NA,NA,NA,"Mic_Species","Screening"
"Parabacteroides.merdae_Screening",0.01,0.0150071428571429,0.0150071428571429,NA,NA,NA,NA,"Mic_Species","Screening"
"Parasutterella.excrementihominis.CAG.233_Screening",0.02,0.0126938095238095,0.0126938095238095,0.00481714285714286,NA,NA,NA,"Mic_Species","Screening"
"Phascolarctobacterium.sp..MUR_MP6E9_ig1_Screening",0.01,0.0119909523809524,0.0119909523809524,NA,"MP6E9_ig1","Phascolarctobacterium faecium","Phascolarctobacterium faecium_MP6E9_ig1","Mic_Species","Screening"
"Robinsoniella.peoriensis_Screening",0.01,0.00902595238095238,0.00902595238095238,NA,NA,NA,NA,"Mic_Species","Screening"
"Ruminococcus.sp..MP5D11_Screening",0.01,0.0232071428571429,0.0232071428571429,NA,"MP5D11","Ruminococcus_C sp000980705","Ruminococcus sp. UNK.MGS-30_MP5D11","Mic_Species","Screening"
"Streptococcus.infantis_Screening",0.02,0.018267380952381,0.018267380952381,0.00446071428571428,NA,NA,NA,"Mic_Species","Screening"
"Streptococcus.salivarius_Screening",0.05,0.0167769523809524,0.012782380952381,0.00443263840290231,NA,NA,NA,"Mic_Species","Screening"
"Streptococcus.thermophilus_Screening",0.04,0.0500638888888887,0.0503242857142856,0.0114427745548215,NA,NA,NA,"Mic_Species","Screening"
"Sutterella.wadsworthensis_Screening",0.01,0.0140809523809524,0.0140809523809524,NA,NA,NA,NA,"Mic_Species","Screening"
"Veillonella.dispar_Screening",0.07,0.0140380952380952,0.0142269047619048,0.0019700345100372,NA,NA,NA,"Mic_Species","Screening"
"Veillonella.parvula_Screening",0.24,0.0473128538359787,0.0380915476190476,0.00474625642229132,NA,NA,NA,"Mic_Species","Screening"
"Veillonella.rogosae_Screening",0.17,0.0236217133520075,0.0225566666666667,0.00308312619972684,NA,NA,NA,"Mic_Species","Screening"
"Veillonella.sp..HF34_Screening",0.01,0.00783,0.00783,NA,"HF34","Veillonella parvula_A","Veillonella parvula_HF34","Mic_Species","Screening"
"Veillonella.sp..oral.taxon.158_Screening",0.03,0.0172580952380953,0.0157971428571429,0.00258362282044166,NA,NA,NA,"Mic_Species","Screening"
"X.Clostridium..aldenense_Screening",0.15,0.0288680793650794,0.0258771428571429,0.00393437154669358,NA,NA,NA,"Mic_Species","Screening"
"X.Clostridium..bolteae_Screening",0.03,0.0192234126984127,0.0210547619047619,0.00347203337627045,NA,NA,NA,"Mic_Species","Screening"
"X.Clostridium..clostridioforme_Screening",0.14,0.025528656462585,0.0245341666666667,0.00245645831817247,NA,NA,NA,"Mic_Species","Screening"
"X.Clostridium..sp..HF14_Screening",0.01,0.0124207142857143,0.0124207142857143,NA,"HF14","Faecalimonas nexilis","Tyzzerella nexilis_HF14","Mic_Species","Screening"
"X.Clostridium..sp..VE303.04_Screening",0.04,0.0119767857142857,0.0117953571428572,0.00080362261153869,NA,NA,NA,"Mic_Species","Screening"
"X.Eubacterium..rectale_Screening",0.03,0.023363253968254,0.0235809523809524,0.00204184336934132,NA,NA,NA,"Mic_Species","Screening"
"X.Ruminococcus..sp..MP10A9_Screening",0.01,0.0170504761904762,0.0170504761904762,NA,"MP10A9","Ruminococcus_B gnavus","[Ruminococcus] gnavus_MP10A9","Mic_Species","Screening"
"abx_screen_status",0.01,0.0415740476190476,0.0415740476190476,NA,NA,NA,NA,"Mic_Species","Screening"
"n_pretreatment_events",0.25,0.0345859555555555,0.0251007142857143,0.00462895396233416,NA,NA,NA,"Mic_Species","Screening"
"total_abx_days_prescreen",0.01,0.0442329365079364,0.0442329365079364,NA,NA,NA,NA,"Mic_Species","Screening"
"treat.day.len.abx",0.01,0.0341447619047619,0.0341447619047619,NA,NA,NA,NA,"Mic_Species","Screening"
"Age",0.34,0.0717237464985994,0.059283968253968,0.00879123668241838,NA,NA,NA,"Vancomycin","Day 1"
"BMI",0.01,0.086997063492063,0.086997063492063,NA,NA,NA,NA,"Vancomycin","Day 1"
"Vancomycin_Day.1",0.11,0.0788001147842053,0.0825986507936504,0.00801167319674883,NA,NA,NA,"Vancomycin","Day 1"
"abx_screen_status",0.02,0.00702519841269841,0.00702519841269841,0.000235277777777779,NA,NA,NA,"Vancomycin","Day 1"
"n_pretreatment_events",0.17,0.067956690009337,0.0535330952380951,0.0121179190467905,NA,NA,NA,"Vancomycin","Day 1"
"n_washout_days",0.02,0.0581238492063489,0.0581238492063489,0.0386461507936504,NA,NA,NA,"Vancomycin","Day 1"
"total.recurrences",0.05,0.0586388253968251,0.0613564285714283,0.0147808237603922,NA,NA,NA,"Vancomycin","Day 1"
"total_abx_days_prescreen",0.19,0.0766395238095236,0.0682006349206347,0.00732577199112092,NA,NA,NA,"Vancomycin","Day 1"
"Abx.group",0.06,0.0899638095238092,0.0938108730158725,0.0180321845845092,NA,NA,NA,"Calprotectin","Day 1"
"Age",0.39,0.129417271062271,0.13060246031746,0.00973265718835954,NA,NA,NA,"Calprotectin","Day 1"
"BMI",0.05,0.0459290952380951,0.0412595238095237,0.0113439267947974,NA,NA,NA,"Calprotectin","Day 1"
"abx_screen_status",0.03,0.0147550264550265,0.0152146825396826,0.00156638196268945,NA,NA,NA,"Calprotectin","Day 1"
"n_pretreatment_events",0.1,0.0583292142857142,0.0576458730158728,0.01457337866515,NA,NA,NA,"Calprotectin","Day 1"
"n_washout_days",0.03,0.0908302910052905,0.0980908730158725,0.0108510731126931,NA,NA,NA,"Calprotectin","Day 1"
"total.recurrences",0.13,0.0613600349650348,0.057164603174603,0.00754828084918705,NA,NA,NA,"Calprotectin","Day 1"
"total_abx_days_prescreen",0.12,0.0717476052188551,0.0677244047619045,0.0107347591127468,NA,NA,NA,"Calprotectin","Day 1"
"Abx.group",0.02,0.0185651984126984,0.0185651984126984,0.00637876984126987,NA,NA,NA,"SCFA","Day 1"
"Acetic.acid_Day.1",0.34,0.0410277194211017,0.0385084271284271,0.00239700953452796,NA,NA,NA,"SCFA","Day 1"
"Age",0.29,0.0353779561626113,0.0296156349206349,0.00271521855379522,NA,NA,NA,"SCFA","Day 1"
"BMI",0.08,0.0312417956349206,0.0344137698412698,0.00453953506818729,NA,NA,NA,"SCFA","Day 1"
"Butyric.acid_Day.1",0.59,0.0438730841098637,0.0378537373737373,0.00270049544341075,NA,NA,NA,"SCFA","Day 1"
"Hexanoic.acid_Day.1",0.43,0.0272055592469546,0.0218133333333333,0.00232604231492519,NA,NA,NA,"SCFA","Day 1"
"Isobutyric.acid_Day.1",0.43,0.0304297758314037,0.0287217243867244,0.00180874465927865,NA,NA,NA,"SCFA","Day 1"
"Isovaleric.acid_Day.1",0.78,0.0470277362452361,0.0438134163059162,0.00231027919311724,NA,NA,NA,"SCFA","Day 1"
"Propionic.acid_Day.1",0.55,0.0441891259346713,0.040922857142857,0.00171452397925825,NA,NA,NA,"SCFA","Day 1"
"Succinic.acid_Day.1",0.01,0.0423256349206348,0.0423256349206348,NA,NA,NA,NA,"SCFA","Day 1"
"X2.Methylbutyric.acid_Day.1",0.65,0.034762983016983,0.0322468253968254,0.00164092413305432,NA,NA,NA,"SCFA","Day 1"
"n_pretreatment_events",0.22,0.0208882736455464,0.0192075396825397,0.00187904870768714,NA,NA,NA,"SCFA","Day 1"
"total_abx_days_prescreen",0.2,0.0383047752525252,0.0333114682539682,0.00402751707339578,NA,NA,NA,"SCFA","Day 1"
"Abx.group",0.02,0.0244340476190476,0.0244340476190476,0.00719071428571429,NA,NA,NA,"BA","Day 1"
"Age",0.52,0.0720619033744033,0.0558191269841267,0.00608193508640582,NA,NA,NA,"BA","Day 1"
"Alloiso_Isolithocholic.Acid_Day.1",0.22,0.0197076052735143,0.016154126984127,0.00278136897480644,NA,NA,NA,"BA","Day 1"
"BMI",0.05,0.0458002207792206,0.0369480158730158,0.0124073270715894,NA,NA,NA,"BA","Day 1"
"Chenodeoxycholic.Acid_Day.1",0.12,0.057899564093314,0.0496605158730157,0.00781823568538552,NA,NA,NA,"BA","Day 1"
"Cholic.Acid_Day.1",0.04,0.0430058333333332,0.0383263492063492,0.0118159798244721,NA,NA,NA,"BA","Day 1"
"Dehydrolithocholic.Acid_Day.1",0.09,0.0461251042167708,0.0432049206349205,0.00623978428642636,NA,NA,NA,"BA","Day 1"
"Deoxycholic.Acid_Day.1",0.02,0.0188948845598846,0.0188948845598846,0.00486718614718615,NA,NA,NA,"BA","Day 1"
"Glycochenodeoxycholic.Acid_Day.1",0.04,0.0304389898989899,0.0235556349206349,0.00844111200617443,NA,NA,NA,"BA","Day 1"
"Glycocholic.Acid_Day.1",0.13,0.0475721139971138,0.0475096031746031,0.0045816107964468,NA,NA,NA,"BA","Day 1"
"Glycodeoxycholic.Acid_Day.1",0.3,0.0477461043771043,0.0313151948051948,0.00695522836204369,NA,NA,NA,"BA","Day 1"
"Lithocholic.Acid_Day.1",0.24,0.048996864177489,0.0472654401154399,0.00459177380791378,NA,NA,NA,"BA","Day 1"
"Taurochenodeoxycholic.Acid_Day.1",0.1,0.0422171320346319,0.0414754365079363,0.00438427715329567,NA,NA,NA,"BA","Day 1"
"Taurocholic.Acid_Day.1",0.01,0.0367015873015872,0.0367015873015872,NA,NA,NA,NA,"BA","Day 1"
"Tauroursodeoxycholic.Acid_Day.1",0.21,0.0417171744657458,0.0404119191919191,0.00367445843710374,NA,NA,NA,"BA","Day 1"
"Ursodeoxycholic.Acid_Day.1",0.12,0.0416411375661375,0.0338460786435786,0.00717637667551849,NA,NA,NA,"BA","Day 1"
"n_pretreatment_events",0.09,0.0293509082892416,0.027655873015873,0.00683629304008162,NA,NA,NA,"BA","Day 1"
"n_washout_days",0.02,0.0250765476190476,0.0250765476190476,0.0114064682539683,NA,NA,NA,"BA","Day 1"
"total.recurrences",0.08,0.0341937211399711,0.0393892857142856,0.00535134966922131,NA,NA,NA,"BA","Day 1"
"total_abx_days_prescreen",0.19,0.0542412614870509,0.0489803968253966,0.0090545687259466,NA,NA,NA,"BA","Day 1"
"Actinobacteria_Day.1",0.4,0.043579115079365,0.0423615873015873,0.00294921340214687,NA,NA,NA,"Mic_Class","Day 1"
"Age",0.11,0.0460579155188245,0.0340959595959596,0.00713766314583254,NA,NA,NA,"Mic_Class","Day 1"
"BMI",0.07,0.0479213924963924,0.035270873015873,0.00922227974819044,NA,NA,NA,"Mic_Class","Day 1"
"Bacteroidia_Day.1",0.09,0.0393127425044091,0.0292355555555555,0.00877672411891258,NA,NA,NA,"Mic_Class","Day 1"
"Betaproteobacteria_Day.1",0.17,0.0357455466428995,0.0299233333333333,0.00500971032055324,NA,NA,NA,"Mic_Class","Day 1"
"Clostridia_Day.1",0.14,0.0306239574314574,0.0312375793650794,0.00246651749999397,NA,NA,NA,"Mic_Class","Day 1"
"Coriobacteriia_Day.1",0.02,0.0303423412698412,0.0303423412698412,0.0148679761904761,NA,NA,NA,"Mic_Class","Day 1"
"Deltaproteobacteria_Day.1",0.04,0.054755535714286,0.0236194841269842,0.034415426719422,NA,NA,NA,"Mic_Class","Day 1"
"Epsilonproteobacteria_Day.1",0.77,0.0531596558347855,0.0416223015873015,0.00346776987771168,NA,NA,NA,"Mic_Class","Day 1"
"Erysipelotrichia_Day.1",0.04,0.0223958531746032,0.0224375793650794,0.00346433417912714,NA,NA,NA,"Mic_Class","Day 1"
"Fusobacteriia_Day.1",0.11,0.0371809956709956,0.0369440476190475,0.00626958820023142,NA,NA,NA,"Mic_Class","Day 1"
"Negativicutes_Day.1",0.16,0.0307388253066378,0.0277185714285715,0.00315567837557064,NA,NA,NA,"Mic_Class","Day 1"
"Saccharomycetes_Day.1",0.08,0.026924375,0.0289063095238095,0.0022132070358354,NA,NA,NA,"Mic_Class","Day 1"
"n_pretreatment_events",0.64,0.0496859200261543,0.0442600396825396,0.0030987774840769,NA,NA,NA,"Mic_Class","Day 1"
"n_washout_days",0.02,0.0314771428571428,0.0314771428571428,9.37301587301681e-05,NA,NA,NA,"Mic_Class","Day 1"
"total.recurrences",0.02,0.0412349206349206,0.0412349206349206,0.0140424603174602,NA,NA,NA,"Mic_Class","Day 1"
"total_abx_days_prescreen",0.7,0.0666840305091732,0.0551892460317458,0.0043716062429525,NA,NA,NA,"Mic_Class","Day 1"
"uncl_Class_of_Firmicutes_Day.1",0.09,0.0102377865961199,0.0103919047619048,0.000921292032663372,NA,NA,NA,"Mic_Class","Day 1"
"Abx.group",0.01,0.0204650793650794,0.0204650793650794,NA,NA,NA,NA,"Mic_Order","Day 1"
"Actinomycetales_Day.1",0.01,0.0164738888888889,0.0164738888888889,NA,NA,NA,NA,"Mic_Order","Day 1"
"Age",0.1,0.0459245555555554,0.0368911507936507,0.00704990543332483,NA,NA,NA,"Mic_Order","Day 1"
"BMI",0.06,0.0367522619047618,0.0343037698412698,0.00661777888639724,NA,NA,NA,"Mic_Order","Day 1"
"Bacteroidales_Day.1",0.1,0.0420068982683982,0.0428192532467532,0.00424246752079264,NA,NA,NA,"Mic_Order","Day 1"
"Bifidobacteriales_Day.1",0.2,0.0431042272727272,0.0392640187590187,0.00437962649295373,NA,NA,NA,"Mic_Order","Day 1"
"Burkholderiales_Day.1",0.16,0.0390290228174602,0.0351044047619047,0.00495432571280345,NA,NA,NA,"Mic_Order","Day 1"
"Campylobacterales_Day.1",0.8,0.0555674366883115,0.0484165079365078,0.00349473667739931,NA,NA,NA,"Mic_Order","Day 1"
"Clostridiales_Day.1",0.07,0.0318698639455782,0.0299573015873016,0.0029244139204155,NA,NA,NA,"Mic_Order","Day 1"
"Coriobacteriales_Day.1",0.05,0.018116253968254,0.0198176190476191,0.00316973063275141,NA,NA,NA,"Mic_Order","Day 1"
"Desulfovibrionales_Day.1",0.05,0.0373603968253968,0.0262616666666667,0.0100640612303682,NA,NA,NA,"Mic_Order","Day 1"
"Erysipelotrichales_Day.1",0.02,0.0251051984126985,0.0251051984126985,0.00268964285714285,NA,NA,NA,"Mic_Order","Day 1"
"Fusobacteriales_Day.1",0.1,0.0329679365079365,0.0272044841269841,0.00434964281414565,NA,NA,NA,"Mic_Order","Day 1"
"Lactobacillales_Day.1",0.01,0.0187087301587302,0.0187087301587302,NA,NA,NA,NA,"Mic_Order","Day 1"
"Micrococcales_Day.1",0.06,0.0231429761904762,0.0234817063492064,0.00286679362936031,NA,NA,NA,"Mic_Order","Day 1"
"Neisseriales_Day.1",0.05,0.00917061904761905,0.00611738095238095,0.00344985373158594,NA,NA,NA,"Mic_Order","Day 1"
"Pasteurellales_Day.1",0.05,0.018923253968254,0.0187217460317461,0.00588108020527064,NA,NA,NA,"Mic_Order","Day 1"
"Propionibacteriales_Day.1",0.01,0.0106397619047619,0.0106397619047619,NA,NA,NA,NA,"Mic_Order","Day 1"
"Saccharomycetales_Day.1",0.11,0.0311796969696969,0.0378674603174603,0.00446061940593952,NA,NA,NA,"Mic_Order","Day 1"
"Streptomycetales_Day.1",0.06,0.0339248412698412,0.0369516666666666,0.00361690759548757,NA,NA,NA,"Mic_Order","Day 1"
"Veillonellales_Day.1",0.01,0.0364753174603174,0.0364753174603174,NA,NA,NA,NA,"Mic_Order","Day 1"
"n_pretreatment_events",0.63,0.0461971415973796,0.0441895238095238,0.00312419712962692,NA,NA,NA,"Mic_Order","Day 1"
"n_washout_days",0.03,0.0273492857142858,0.0271522222222223,0.00243655544263701,NA,NA,NA,"Mic_Order","Day 1"
"total.recurrences",0.02,0.0222268650793651,0.0222268650793651,0.00191218253968256,NA,NA,NA,"Mic_Order","Day 1"
"total_abx_days_prescreen",0.6,0.0657229327801826,0.0609412301587299,0.00388858851146299,NA,NA,NA,"Mic_Order","Day 1"
"uncl_Order_of_Firmicutes_Day.1",0.1,0.0168311825396825,0.0147677380952381,0.00304081076028219,NA,NA,NA,"Mic_Order","Day 1"
"Actinomyces_Day.1",0.03,0.0280617724867725,0.0281596031746032,0.000626504674584185,NA,NA,NA,"Mic_Genus","Day 1"
"Age",0.23,0.0570899830604177,0.0452304761904761,0.00687194985187493,NA,NA,NA,"Mic_Genus","Day 1"
"Alloscardovia_Day.1",0.02,0.00605103174603174,0.00605103174603174,0.000874285714285715,NA,NA,NA,"Mic_Genus","Day 1"
"Atopobium_Day.1",0.03,0.0155745502645503,0.0153934920634921,0.00229936196256663,NA,NA,NA,"Mic_Genus","Day 1"
"BMI",0.1,0.0481707619047618,0.0469660317460316,0.00696266503351166,NA,NA,NA,"Mic_Genus","Day 1"
"Beduini_Day.1",0.01,0.0414208730158729,0.0414208730158729,NA,NA,NA,NA,"Mic_Genus","Day 1"
"Bifidobacterium_Day.1",0.03,0.0377257142857142,0.0387333333333332,0.00937930774142321,NA,NA,NA,"Mic_Genus","Day 1"
"Bilophila_Day.1",0.02,0.0472623412698412,0.0472623412698412,0.0119274999999999,NA,NA,NA,"Mic_Genus","Day 1"
"Campylobacter_Day.1",0.72,0.0514941702741701,0.0473880158730157,0.00270824317184628,NA,NA,NA,"Mic_Genus","Day 1"
"Citrobacter_Day.1",0.08,0.0396450099206348,0.0364944841269841,0.00653087227067419,NA,NA,NA,"Mic_Genus","Day 1"
"Clostridioides_Day.1",0.06,0.0233806613756614,0.0263028174603175,0.00427525431325958,NA,NA,NA,"Mic_Genus","Day 1"
"Clostridium_Day.1",0.02,0.0127575793650794,0.0127575793650794,0.000582420634920633,NA,NA,NA,"Mic_Genus","Day 1"
"Desulfovibrio_Day.1",0.02,0.0163574206349207,0.0163574206349207,0.0016759126984127,NA,NA,NA,"Mic_Genus","Day 1"
"Dialister_Day.1",0.55,0.0307816896235078,0.0275854761904762,0.00220017519019636,NA,NA,NA,"Mic_Genus","Day 1"
"Enterobacter_Day.1",0.26,0.0338165728715728,0.033744126984127,0.00213170791845389,NA,NA,NA,"Mic_Genus","Day 1"
"Erysipelatoclostridium_Day.1",0.01,0.018025,0.018025,NA,NA,NA,NA,"Mic_Genus","Day 1"
"Escherichia_Day.1",0.03,0.0454269071669071,0.0508974675324674,0.00562422643809343,NA,NA,NA,"Mic_Genus","Day 1"
"Fusobacterium_Day.1",0.03,0.0586278306878305,0.0595153968253966,0.00138554869200132,NA,NA,NA,"Mic_Genus","Day 1"
"Haemophilus_Day.1",0.06,0.0162478439153439,0.0168549603174604,0.00232834193806947,NA,NA,NA,"Mic_Genus","Day 1"
"Hungatella_Day.1",0.02,0.0076140873015873,0.0076140873015873,0.00118734126984128,NA,NA,NA,"Mic_Genus","Day 1"
"Kluyvera_Day.1",0.02,0.0323322222222222,0.0323322222222222,0.00232380952380949,NA,NA,NA,"Mic_Genus","Day 1"
"Lachnoclostridium_Day.1",0.01,0.024273253968254,0.024273253968254,NA,NA,NA,NA,"Mic_Genus","Day 1"
"Lactobacillus_Day.1",0.01,0.0309149206349206,0.0309149206349206,NA,NA,NA,NA,"Mic_Genus","Day 1"
"Morganella_Day.1",0.03,0.00997933862433863,0.00908238095238097,0.0016018532143616,NA,NA,NA,"Mic_Genus","Day 1"
"Pediococcus_Day.1",0.04,0.0252272023809524,0.0249486111111112,0.00231700595458323,NA,NA,NA,"Mic_Genus","Day 1"
"Prevotella_Day.1",0.01,0.0451323809523809,0.0451323809523809,NA,NA,NA,NA,"Mic_Genus","Day 1"
"Proteus_Day.1",0.01,0.0267428571428572,0.0267428571428572,NA,NA,NA,NA,"Mic_Genus","Day 1"
"Raoultella_Day.1",0.23,0.0239241476880607,0.0211855555555556,0.00219294054011528,NA,NA,NA,"Mic_Genus","Day 1"
"Ruminococcus_Day.1",0.01,0.0141366666666667,0.0141366666666667,NA,NA,NA,NA,"Mic_Genus","Day 1"
"Saccharomyces_Day.1",0.02,0.0317121428571428,0.0317121428571428,0.00941253968253957,NA,NA,NA,"Mic_Genus","Day 1"
"Selenomonas_Day.1",0.01,0.0143195238095238,0.0143195238095238,NA,NA,NA,NA,"Mic_Genus","Day 1"
"Streptococcus_Day.1",0.01,0.036185,0.036185,NA,NA,NA,NA,"Mic_Genus","Day 1"
"Streptomyces_Day.1",0.02,0.0395923015873015,0.0395923015873015,0.0133560317460316,NA,NA,NA,"Mic_Genus","Day 1"
"Sutterella_Day.1",0.1,0.0268364761904762,0.0211139682539683,0.00519142842865153,NA,NA,NA,"Mic_Genus","Day 1"
"Veillonella_Day.1",0.2,0.0394231861471861,0.0343349206349206,0.00321954844288569,NA,NA,NA,"Mic_Genus","Day 1"
"n_pretreatment_events",0.5,0.0503490989898988,0.0456504761904762,0.00397186482236945,NA,NA,NA,"Mic_Genus","Day 1"
"n_washout_days",0.09,0.0273248059964727,0.0268744444444445,0.00280392613175079,NA,NA,NA,"Mic_Genus","Day 1"
"total.recurrences",0.02,0.0282,0.0282,0.00111174603174604,NA,NA,NA,"Mic_Genus","Day 1"
"total_abx_days_prescreen",0.71,0.0683783679856917,0.0638917460317457,0.00357892676135096,NA,NA,NA,"Mic_Genus","Day 1"
"uncl_Genus_of_Burkholderiales_Day.1",0.01,0.0123789682539683,0.0123789682539683,NA,NA,NA,NA,"Mic_Genus","Day 1"
"uncl_Genus_of_Clostridiales_Day.1",0.01,0.0330412698412698,0.0330412698412698,NA,NA,NA,NA,"Mic_Genus","Day 1"
"uncl_Genus_of_Firmicutes_Day.1",0.09,0.0137329100529101,0.0147019047619048,0.00241975113922522,NA,NA,NA,"Mic_Genus","Day 1"
"Actinomyces.bouchesdurhonensis_Day.1",0.07,0.0152304761904762,0.0183031746031746,0.00235174937535373,NA,NA,NA,"Mic_Species","Day 1"
"Actinomyces.graevenitzii_Day.1",0.02,0.0398980555555554,0.0398980555555554,0.00870686507936494,NA,NA,NA,"Mic_Species","Day 1"
"Actinomyces.odontolyticus_Day.1",0.01,0.0325169841269841,0.0325169841269841,NA,NA,NA,NA,"Mic_Species","Day 1"
"Actinomyces.sp..HMSC035G02_Day.1",0.03,0.0140417724867725,0.0169057142857143,0.00475524491614345,NA,NA,NA,"Mic_Species","Day 1"
"Actinomyces.sp..ICM39_Day.1",0.11,0.0195652236652236,0.0143928571428572,0.00394862395038887,NA,NA,NA,"Mic_Species","Day 1"
"Actinomyces.sp..oral.taxon.172_Day.1",0.11,0.0147854840613932,0.0120798412698413,0.00234070335290566,NA,NA,NA,"Mic_Species","Day 1"
"Age",0.27,0.0580077010849231,0.0525417460317459,0.00537828671709971,NA,NA,NA,"Mic_Species","Day 1"
"BMI",0.03,0.0434481481481481,0.0417996825396825,0.00333958843356922,NA,NA,NA,"Mic_Species","Day 1"
"Bifidobacterium.animalis_Day.1",0.03,0.0231477777777778,0.0273691269841271,0.00446757887872447,NA,NA,NA,"Mic_Species","Day 1"
"Bilophila.wadsworthia_Day.1",0.05,0.0356962698412698,0.0378312698412698,0.00586101830207759,NA,NA,NA,"Mic_Species","Day 1"
"Blautia.sp..VE303.05_Day.1",0.02,0.0151144841269841,0.0151144841269841,0.00288821428571428,NA,NA,NA,"Mic_Species","Day 1"
"Burkholderiales.bacterium_Day.1",0.03,0.0187923015873016,0.0181928571428572,0.00332690052849199,NA,NA,NA,"Mic_Species","Day 1"
"Campylobacter.curvus_Day.1",0.2,0.0347169361471861,0.0243465873015874,0.00523062161695481,NA,NA,NA,"Mic_Species","Day 1"
"Citrobacter.amalonaticus_Day.1",0.08,0.0219868849206349,0.018414880952381,0.00286603118414402,NA,NA,NA,"Mic_Species","Day 1"
"Citrobacter.braakii_Day.1",0.19,0.0214977151211362,0.0218002380952381,0.00215635484604239,NA,NA,NA,"Mic_Species","Day 1"
"Citrobacter.farmeri_Day.1",0.03,0.0270940211640212,0.0280065079365079,0.00537916429108717,NA,NA,NA,"Mic_Species","Day 1"
"Clostridioides.difficile_Day.1",0.1,0.0173700238095238,0.018203373015873,0.00158350518704413,NA,NA,NA,"Mic_Species","Day 1"
"Dialister.invisus.CAG.218_Day.1",0.3,0.0198820264550265,0.0161244047619048,0.00197846447869323,NA,NA,NA,"Mic_Species","Day 1"
"Dialister.invisus_Day.1",0.33,0.0294148316498316,0.0271568253968255,0.00219748228037986,NA,NA,NA,"Mic_Species","Day 1"
"Enterobacter.cloacae_Day.1",0.03,0.0205313227513228,0.0187328571428572,0.00404958210549397,NA,NA,NA,"Mic_Species","Day 1"
"Enterobacter.roggenkampii_Day.1",0.02,0.0122213888888889,0.0122213888888889,0.00183916666666668,NA,NA,NA,"Mic_Species","Day 1"
"Escherichia.coli_Day.1",0.08,0.0388288492063491,0.0381541666666666,0.00282835665970766,NA,NA,NA,"Mic_Species","Day 1"
"Escherichia.marmotae_Day.1",0.01,0.0106703968253968,0.0106703968253968,NA,NA,NA,NA,"Mic_Species","Day 1"
"Fusobacterium.nucleatum_Day.1",0.04,0.0293239285714286,0.0301711111111111,0.00283916085869772,NA,NA,NA,"Mic_Species","Day 1"
"Haemophilus.parainfluenzae_Day.1",0.03,0.0258299470899471,0.0199690476190476,0.00769364017565539,NA,NA,NA,"Mic_Species","Day 1"
"Klebsiella.grimontii_Day.1",0.04,0.0160504365079365,0.0124671428571429,0.00402674904975937,NA,NA,NA,"Mic_Species","Day 1"
"Klebsiella.michiganensis_Day.1",0.01,0.0244679365079366,0.0244679365079366,NA,NA,NA,NA,"Mic_Species","Day 1"
"Klebsiella.oxytoca_Day.1",0.04,0.0333752380952381,0.0310163095238095,0.00793483517246055,NA,NA,NA,"Mic_Species","Day 1"
"Klebsiella.pneumoniae_Day.1",0.03,0.0626540211640209,0.0492096825396824,0.0148173875979355,NA,NA,NA,"Mic_Species","Day 1"
"Kluyvera.cryocrescens_Day.1",0.02,0.0175351190476191,0.0175351190476191,0.00808456349206352,NA,NA,NA,"Mic_Species","Day 1"
"Lactobacillus.casei_Day.1",0.01,0.0584742063492061,0.0584742063492061,NA,NA,NA,NA,"Mic_Species","Day 1"
"Lactobacillus.delbrueckii_Day.1",0.27,0.0266856351878574,0.0245628571428572,0.00245940894291101,NA,NA,NA,"Mic_Species","Day 1"
"Lactobacillus.fermentum_Day.1",0.02,0.0297620238095238,0.0297620238095238,0.00532027777777773,NA,NA,NA,"Mic_Species","Day 1"
"Lactobacillus.plantarum_Day.1",0.04,0.0277483928571429,0.0311926587301588,0.00426557819177769,NA,NA,NA,"Mic_Species","Day 1"
"Lactobacillus.rhamnosus_Day.1",0.03,0.0304401587301588,0.0330511111111112,0.00341712507509888,NA,NA,NA,"Mic_Species","Day 1"
"Lactobacillus.salivarius_Day.1",0.04,0.030100119047619,0.0309368650793651,0.00575462634865506,NA,NA,NA,"Mic_Species","Day 1"
"Morganella.morganii_Day.1",0.01,0.00821349206349207,0.00821349206349207,NA,NA,NA,NA,"Mic_Species","Day 1"
"Parasutterella.excrementihominis_Day.1",0.03,0.0309607118807118,0.0329342063492063,0.00729083583131027,NA,NA,NA,"Mic_Species","Day 1"
"Pediococcus.pentosaceus_Day.1",0.04,0.0119053968253968,0.0117427380952381,0.00240204753757371,NA,NA,NA,"Mic_Species","Day 1"
"Prevotella.histicola_Day.1",0.04,0.034971727994228,0.0355674242424242,0.00749261764842274,NA,NA,NA,"Mic_Species","Day 1"
"Proteus.mirabilis_Day.1",0.09,0.0191399735449736,0.0155821428571429,0.00288441769033673,NA,NA,NA,"Mic_Species","Day 1"
"Raoultella.ornithinolytica_Day.1",0.26,0.0210638583638584,0.0221536111111111,0.0015956409060262,NA,NA,NA,"Mic_Species","Day 1"
"Selenomonas.flueggei_Day.1",0.01,0.0341731746031746,0.0341731746031746,NA,NA,NA,NA,"Mic_Species","Day 1"
