"","Value","Std.Error","DF","t.value","pval","scfa_var","Var","Strain","adj.pval","Class"
"Cholic Acid.Streptomyces.flaveus.St_Abundance",22.9833104558923,20.5872248073899,43,1.11638701529321,0.270456199179727,"Cholic Acid","St_Abundance","Streptomyces.flaveus",0.394679029507514,"Primary BA"
"Cholic Acid.Pediococcus.acidilactici.St_Abundance",-2.47511786996591,2.40277638841495,43,-1.03010745481758,0.308719116699709,"Cholic Acid","St_Abundance","Pediococcus.acidilactici",0.434598677744042,"Primary BA"
"Cholic Acid.Lactobacillus.casei.St_Abundance",-8.26096739913589,17.8389881109869,43,-0.463084977003152,0.645638736776286,"Cholic Acid","St_Abundance","Lactobacillus.casei",0.743287695533394,"Primary BA"
"Cholic Acid.Bifidobacterium.breve.St_Abundance",-0.601895908135175,1.54365173701156,43,-0.389916905286174,0.698522732139524,"Cholic Acid","St_Abundance","Bifidobacterium.breve",0.78615891743157,"Primary BA"
"Cholic Acid.Lachnoclostridium.sp..MP429E6.St_Abundance",1.15872440196228,1.47305456497289,43,0.786613360777717,0.435822164101632,"Cholic Acid","St_Abundance","Lachnoclostridium.sp..MP429E6",0.561765162224789,"Primary BA"
"Cholic Acid.Veillonella.dispar.St_Abundance",-4.90579096103889,4.77767566003034,43,-1.0268154035822,0.310249149503852,"Cholic Acid","St_Abundance","Veillonella.dispar",0.436021492966397,"Primary BA"
"Cholic Acid.Veillonella.infantium.St_Abundance",-0.863609092648489,5.1435919880698,43,-0.167899999582309,0.867449157414143,"Cholic Acid","St_Abundance","Veillonella.infantium",0.90575210722204,"Primary BA"
"Cholic Acid.Blautia.sp..MP624D4_ig1.St_Abundance",-3.43813235412721,2.13864305265795,43,-1.60762327769201,0.115236762331408,"Cholic Acid","St_Abundance","Blautia.sp..MP624D4_ig1",0.204978665739938,"Primary BA"
"Cholic Acid.Sutterella.wadsworthensis.St_Abundance",0.792125155230529,0.867278305323654,43,0.913345981754866,0.36615351800692,"Cholic Acid","St_Abundance","Sutterella.wadsworthensis",0.493214539857698,"Primary BA"
"Cholic Acid.Bacteroides.fragilis.St_Abundance",0.149934825555432,0.707041610947506,43,0.212059408150681,0.833062683542437,"Cholic Acid","St_Abundance","Bacteroides.fragilis",0.881872807857958,"Primary BA"
"Cholic Acid.Flavonifractor.sp..VE303.08.St_Abundance",0.0263040596053201,0.788995821738747,43,0.0333386551367948,0.97355880475808,"Cholic Acid","St_Abundance","Flavonifractor.sp..VE303.08",0.98174823328231,"Primary BA"
"Cholic Acid.Streptococcus.mutans.St_Abundance",-10.592073431851,8.81442352581528,43,-1.20167511815485,0.23606609344684,"Cholic Acid","St_Abundance","Streptococcus.mutans",0.353686725611478,"Primary BA"
"Cholic Acid.Blautia.sp..HF17.St_Abundance",-5.59401336185928,1.58310645113014,43,-3.5335674097379,0.000994337081142527,"Cholic Acid","St_Abundance","Blautia.sp..HF17",0.00409295827922102,"Primary BA"
"Cholic Acid.Blautia.sp..CAG.257.St_Abundance",-7.8730267181013,3.54877013787155,43,-2.21852259014536,0.0318493537085016,"Cholic Acid","St_Abundance","Blautia.sp..CAG.257",0.0736916839143765,"Primary BA"
"Cholic Acid.Eggerthella.sp..MP163B1.St_Abundance",-15.2995949317107,4.59988534531493,43,-3.32608180055915,0.00180980459196486,"Cholic Acid","St_Abundance","Eggerthella.sp..MP163B1",0.00685147918511948,"Primary BA"
"Cholic Acid.Anaerostipes.sp..MP172A5.St_Abundance",15.1742144977404,4.49709495165504,43,3.37422595272443,0.00157730437597274,"Cholic Acid","St_Abundance","Anaerostipes.sp..MP172A5",0.00607134754413925,"Primary BA"
"Cholic Acid.Streptococcus.sp..MP628A10_ig1.St_Abundance",0.35398813129981,2.91958515468944,43,0.12124603755134,0.904060982344199,"Cholic Acid","St_Abundance","Streptococcus.sp..MP628A10_ig1",0.930387238150062,"Primary BA"
"Cholic Acid.Streptococcus.sp..MP494C11.St_Abundance",-0.784321999403239,2.82112122561392,43,-0.278017829323361,0.782331147719042,"Cholic Acid","St_Abundance","Streptococcus.sp..MP494C11",0.845970533816535,"Primary BA"
"Cholic Acid.Blautia.hominis.St_Abundance",-2.26999583595166,2.93078619725787,43,-0.774534777758792,0.442852834536558,"Cholic Acid","St_Abundance","Blautia.hominis",0.56764237380214,"Primary BA"
"Cholic Acid.Blautia.marasmi.St_Abundance",-2.65547166909697,2.97626872963553,43,-0.892215021666461,0.377243598402042,"Cholic Acid","St_Abundance","Blautia.marasmi",0.504350618358332,"Primary BA"
"Cholic Acid.Blautia.sp..MP87F8_2.St_Abundance",18.4617802916619,6.50888702633326,43,2.83639587182423,0.00693041758580637,"Cholic Acid","St_Abundance","Blautia.sp..MP87F8_2",0.0210763337644948,"Primary BA"
"Cholic Acid.Lactobacillus.paracasei.St_Abundance",4.96288671967143,2.6701366460846,43,1.85866394776045,0.0699280498858346,"Cholic Acid","St_Abundance","Lactobacillus.paracasei",0.141199851858019,"Primary BA"
"Cholic Acid.Klebsiella.michiganensis.St_Abundance",-0.444161967508725,0.655305060909216,43,-0.677794196938544,0.501533217537471,"Cholic Acid","St_Abundance","Klebsiella.michiganensis",0.618929711281852,"Primary BA"
"Cholic Acid.Parabacteroides.distasonis.St_Abundance",0.31858512108413,0.963693819796016,43,0.330587490071862,0.742561556834661,"Cholic Acid","St_Abundance","Parabacteroides.distasonis",0.81937826961066,"Primary BA"
"Cholic Acid.Bifidobacterium.animalis.St_Abundance",2.10955267422144,2.5499412024625,43,0.827294634160283,0.412637766510292,"Cholic Acid","St_Abundance","Bifidobacterium.animalis",0.539673557970742,"Primary BA"
"Cholic Acid.Parasutterella.excrementihominis.St_Abundance",1.65270799635811,1.73545212182914,43,0.952321285946039,0.34625679334689,"Cholic Acid","St_Abundance","Parasutterella.excrementihominis",0.472749669880534,"Primary BA"
"Cholic Acid.Burkholderiales.bacterium.1_1_47.St_Abundance",1.79378105302038,1.78988145213681,43,1.00217869226977,0.321863809495118,"Cholic Acid","St_Abundance","Burkholderiales.bacterium.1_1_47",0.44738725308522,"Primary BA"
"Cholic Acid.Streptomyces.californicus.St_Abundance",8.8815460864553,16.6389673631706,43,0.533779885049484,0.59624258864827,"Cholic Acid","St_Abundance","Streptomyces.californicus",0.699695736213405,"Primary BA"
"Cholic Acid.Streptococcus.sp..MP111F6_2.St_Abundance",2.18853917448681,1.72669241773244,43,1.26747482760183,0.211806677874918,"Cholic Acid","St_Abundance","Streptococcus.sp..MP111F6_2",0.326993733496224,"Primary BA"
"Cholic Acid.Parasutterella.excrementihominis.CAG.233.St_Abundance",1.65831072639968,2.79059210263015,43,0.594250490724429,0.555458433515773,"Cholic Acid","St_Abundance","Parasutterella.excrementihominis.CAG.233",0.66471555957314,"Primary BA"
"Cholic Acid.Streptococcus.vestibularis.St_Abundance",-4.6860232604812,3.67449187845475,43,-1.27528469662908,0.209055714070384,"Cholic Acid","St_Abundance","Streptococcus.vestibularis",0.323465564806521,"Primary BA"
"Cholic Acid.Clostridia.bacterium.UC5.1.1A9.St_Abundance",-4.93214436256514,3.60898501009724,43,-1.36662921812254,0.178845216202492,"Cholic Acid","St_Abundance","Clostridia.bacterium.UC5.1.1A9",0.287726971139177,"Primary BA"
"Cholic Acid.X.Clostridium..lavalense.St_Abundance",1.65829315121527,2.7475892169213,43,0.603544787918991,0.549317079613275,"Cholic Acid","St_Abundance","X.Clostridium..lavalense",0.65918049553593,"Primary BA"
"Dehydrolithocholic Acid.Bilophila.wadsworthia.St_Abundance",-2.63752318335183,1.83459831672872,43,-1.4376570387652,0.157769353808612,"Dehydrolithocholic Acid","St_Abundance","Bilophila.wadsworthia",0.260881073482598,"Secondary BA"
"Dehydrolithocholic Acid.Proteus.mirabilis.St_Abundance",3.55165627552439,3.46296287404014,43,1.02561199894724,0.310809742179284,"Dehydrolithocholic Acid","St_Abundance","Proteus.mirabilis",0.436217070738456,"Secondary BA"
"Dehydrolithocholic Acid.Escherichia.coli.St_Abundance",-0.804936114424581,0.682415723919497,43,-1.1795392254466,0.244668545872118,"Dehydrolithocholic Acid","St_Abundance","Escherichia.coli",0.364199973860093,"Secondary BA"
"Dehydrolithocholic Acid.X.Clostridium..aldenense.St_Abundance",0.514279779122998,1.27570853553222,43,0.403132662985941,0.688848156165154,"Dehydrolithocholic Acid","St_Abundance","X.Clostridium..aldenense",0.777720087845229,"Secondary BA"
"Dehydrolithocholic Acid.X.Clostridium..clostridioforme.St_Abundance",2.05660518370702,1.46894240876284,43,1.40005841715681,0.16866997472262,"Dehydrolithocholic Acid","St_Abundance","X.Clostridium..clostridioforme",0.274515505419,"Secondary BA"
"Dehydrolithocholic Acid.Morganella.morganii.St_Abundance",-3.61381214822807,2.62657045381118,43,-1.3758672046982,0.175987172036655,"Dehydrolithocholic Acid","St_Abundance","Morganella.morganii",0.284122769979828,"Secondary BA"
"Dehydrolithocholic Acid.Fusobacterium.nucleatum.St_Abundance",-0.13394538771015,1.5465991979653,43,-0.0866063993091215,0.931386420784116,"Dehydrolithocholic Acid","St_Abundance","Fusobacterium.nucleatum",0.949695221699974,"Secondary BA"
"Dehydrolithocholic Acid.Citrobacter.amalonaticus.St_Abundance",0.91887577903554,1.75527968188606,43,0.523492517185753,0.603319190169387,"Dehydrolithocholic Acid","St_Abundance","Citrobacter.amalonaticus",0.706324905564161,"Secondary BA"
"Dehydrolithocholic Acid.X.Clostridium..bolteae.St_Abundance",3.40603542300617,1.82844441360655,43,1.86280501483108,0.0693301725751722,"Dehydrolithocholic Acid","St_Abundance","X.Clostridium..bolteae",0.140274196289244,"Secondary BA"
"Dehydrolithocholic Acid.Veillonella.parvula.St_Abundance",1.48687899189592,1.49124341200692,43,0.997073301329708,0.324306980603617,"Dehydrolithocholic Acid","St_Abundance","Veillonella.parvula",0.449847422739371,"Secondary BA"
"Dehydrolithocholic Acid.Lachnospiraceae.bacterium.CAG.364.St_Abundance",-1.34463428368771,1.29128598574987,43,-1.04131408419713,0.303549422442535,"Dehydrolithocholic Acid","St_Abundance","Lachnospiraceae.bacterium.CAG.364",0.429672069795419,"Secondary BA"
"Dehydrolithocholic Acid.Enterococcus.casseliflavus.St_Abundance",-2.40764762180701,4.39183370974304,43,-0.548210105602536,0.586382648480417,"Dehydrolithocholic Acid","St_Abundance","Enterococcus.casseliflavus",0.690518710184189,"Secondary BA"
"Dehydrolithocholic Acid.Flavonifractor.plautii.St_Abundance",-0.550166129652172,2.56140525989075,43,-0.214790739391094,0.830945913019438,"Dehydrolithocholic Acid","St_Abundance","Flavonifractor.plautii",0.880356467227973,"Secondary BA"
"Dehydrolithocholic Acid.Hungatella.sp..MP355B12.St_Abundance",-1.35097854744307,3.24017019829586,43,-0.416946785126783,0.678791583702405,"Dehydrolithocholic Acid","St_Abundance","Hungatella.sp..MP355B12",0.769743911560979,"Secondary BA"
"Dehydrolithocholic Acid.Dialister.invisus.St_Abundance",-7.56819564372269,4.31561106078592,43,-1.75367880402652,0.0866114630473779,"Dehydrolithocholic Acid","St_Abundance","Dialister.invisus",0.167847222151472,"Secondary BA"
"Dehydrolithocholic Acid.Hungatella.sp..MP68H3.St_Abundance",4.97811283812016,3.75473414442543,43,1.32582298683145,0.191898772502029,"Dehydrolithocholic Acid","St_Abundance","Hungatella.sp..MP68H3",0.304087929227162,"Secondary BA"
"Dehydrolithocholic Acid.Hungatella.sp..MP42C12.St_Abundance",-4.32773294954857,7.52170196922493,43,-0.575366182714432,0.568042506254839,"Dehydrolithocholic Acid","St_Abundance","Hungatella.sp..MP42C12",0.674478382911413,"Secondary BA"
"Dehydrolithocholic Acid.Hungatella.sp..MP42A4.St_Abundance",3.04548319533136,2.10654549594101,43,1.4457239120634,0.155504157294716,"Dehydrolithocholic Acid","St_Abundance","Hungatella.sp..MP42A4",0.258383554564612,"Secondary BA"
"Dehydrolithocholic Acid.Bifidobacterium.dentium.St_Abundance",0.0369201903701475,0.923646053129534,43,0.0399722277219213,0.968300285741833,"Dehydrolithocholic Acid","St_Abundance","Bifidobacterium.dentium",0.978185556445966,"Secondary BA"
"Dehydrolithocholic Acid.Dialister.invisus.CAG.218.St_Abundance",-7.71957603597737,4.37658725077209,43,-1.76383460300386,0.0848639395298825,"Dehydrolithocholic Acid","St_Abundance","Dialister.invisus.CAG.218",0.165157294721998,"Secondary BA"
"Dehydrolithocholic Acid.Klebsiella.pneumoniae.St_Abundance",-0.0532254058188118,0.545452736492922,43,-0.0975802342858032,0.922719052935868,"Dehydrolithocholic Acid","St_Abundance","Klebsiella.pneumoniae",0.943850023613788,"Secondary BA"
"Dehydrolithocholic Acid.X.Clostridium..spiroforme.St_Abundance",7.65129408256631,10.2789237353105,43,0.744367239177225,0.460703106232618,"Dehydrolithocholic Acid","St_Abundance","X.Clostridium..spiroforme",0.583545171187121,"Secondary BA"
"Dehydrolithocholic Acid.Campylobacter.curvus.St_Abundance",-1.49220701440318,2.89317533072471,43,-0.515767917193389,0.608658454593122,"Dehydrolithocholic Acid","St_Abundance","Campylobacter.curvus",0.711113642336922,"Secondary BA"
"Dehydrolithocholic Acid.Ruthenibacterium.lactatiformans.St_Abundance",-2.51772339836244,4.33815539022925,43,-0.580367269469662,0.564696184151454,"Dehydrolithocholic Acid","St_Abundance","Ruthenibacterium.lactatiformans",0.671993682971721,"Secondary BA"
"Dehydrolithocholic Acid.Hungatella.hathewayi.St_Abundance",-1.02370226455192,1.26022144849627,43,-0.812319347344411,0.421082952947548,"Dehydrolithocholic Acid","St_Abundance","Hungatella.hathewayi",0.547816657232733,"Secondary BA"
"Dehydrolithocholic Acid.Ruminococcaceae.bacterium.cv2.St_Abundance",-3.76399237993472,4.95306041951886,43,-0.759932660038166,0.451441408037071,"Dehydrolithocholic Acid","St_Abundance","Ruminococcaceae.bacterium.cv2",0.576281400187595,"Secondary BA"
"Dehydrolithocholic Acid.Enterococcus.faecium.St_Abundance",-1.36416694390293,2.8367012872032,43,-0.480899046387754,0.633026227864145,"Dehydrolithocholic Acid","St_Abundance","Enterococcus.faecium",0.732012143463691,"Secondary BA"
"Dehydrolithocholic Acid.Ruthenibacterium.sp..VE800.03.St_Abundance",6.26180225736016,4.66245921227139,43,1.34302563781778,0.18630989906077,"Dehydrolithocholic Acid","St_Abundance","Ruthenibacterium.sp..VE800.03",0.296987675528842,"Secondary BA"
"Dehydrolithocholic Acid.Citrobacter.freundii.St_Abundance",0.213262468298528,1.31649971617836,43,0.161992035150302,0.872070935799359,"Dehydrolithocholic Acid","St_Abundance","Citrobacter.freundii",0.908754231682027,"Secondary BA"
"Dehydrolithocholic Acid.Subdoligranulum.sp..MP158A7.St_Abundance",-1.42407797274932,4.80903164122756,43,-0.296125723220613,0.768559562139405,"Dehydrolithocholic Acid","St_Abundance","Subdoligranulum.sp..MP158A7",0.837750399011309,"Secondary BA"
"Dehydrolithocholic Acid.Lactococcus.lactis.St_Abundance",6.34146960425969,6.39685000585334,43,0.991342551170815,0.327064270733783,"Dehydrolithocholic Acid","St_Abundance","Lactococcus.lactis",0.45302394654074,"Secondary BA"
"Dehydrolithocholic Acid.Lactobacillus.paragasseri.St_Abundance",-0.0726500363786601,3.70155880569228,43,-0.0196268761871184,0.984431815368917,"Dehydrolithocholic Acid","St_Abundance","Lactobacillus.paragasseri",0.988886318301836,"Secondary BA"
"Dehydrolithocholic Acid.Erysipelatoclostridium.sp..MP572A05.St_Abundance",1.92273412684481,6.67778383455673,43,0.287929974147245,0.774783605043067,"Dehydrolithocholic Acid","St_Abundance","Erysipelatoclostridium.sp..MP572A05",0.841791916830576,"Secondary BA"
"Dehydrolithocholic Acid.Enterobacter.cloacae.St_Abundance",0.967561643823429,2.02402419342919,43,0.478038576299894,0.635044165290387,"Dehydrolithocholic Acid","St_Abundance","Enterobacter.cloacae",0.733717275219646,"Secondary BA"
"Dehydrolithocholic Acid.Romboutsia.sp..MP232A8.St_Abundance",8.10575681084281,6.8425751373074,43,1.18460618234913,0.242679589127671,"Dehydrolithocholic Acid","St_Abundance","Romboutsia.sp..MP232A8",0.361574036893486,"Secondary BA"
"Dehydrolithocholic Acid.Faecalibacterium.prausnitzii.St_Abundance",1.16549285790937,2.42917112103316,43,0.479790348163562,0.6338080319396,"Dehydrolithocholic Acid","St_Abundance","Faecalibacterium.prausnitzii",0.732552248236389,"Secondary BA"
"Dehydrolithocholic Acid.Streptococcus.salivarius.St_Abundance",6.36448565167775,3.9613312757522,43,1.60665322050583,0.115450006500034,"Dehydrolithocholic Acid","St_Abundance","Streptococcus.salivarius",0.205244456000061,"Secondary BA"
"Dehydrolithocholic Acid.Klebsiella.oxytoca.St_Abundance",-1.46668093503413,0.689946820619687,43,-2.12578838136656,0.0393036914876281,"Dehydrolithocholic Acid","St_Abundance","Klebsiella.oxytoca",0.0875654117244281,"Secondary BA"
"Dehydrolithocholic Acid.Streptococcus.thermophilus.St_Abundance",3.05132195734626,1.84871245310971,43,1.65051192910701,0.106124796014355,"Dehydrolithocholic Acid","St_Abundance","Streptococcus.thermophilus",0.192643387386201,"Secondary BA"
"Dehydrolithocholic Acid.Lactobacillus.rhamnosus.St_Abundance",0.919779347734671,1.27400570326313,43,0.721958579446564,0.474227892839783,"Dehydrolithocholic Acid","St_Abundance","Lactobacillus.rhamnosus",0.596214583022964,"Secondary BA"
"Dehydrolithocholic Acid.Actinomyces.graevenitzii.St_Abundance",24.8407481998357,24.5204803725279,43,1.01306123788939,0.31669760315017,"Dehydrolithocholic Acid","St_Abundance","Actinomyces.graevenitzii",0.442057071063778,"Secondary BA"
"Dehydrolithocholic Acid.Actinomyces.sp..HPA0247.St_Abundance",9.58149781291864,12.3903871886889,43,0.773300920060473,0.443574795970373,"Dehydrolithocholic Acid","St_Abundance","Actinomyces.sp..HPA0247",0.568454490472492,"Secondary BA"
"Dehydrolithocholic Acid.Actinomyces.oris.St_Abundance",-5.47939980958273,18.7756000148179,43,-0.291836202585181,0.77181522704553,"Dehydrolithocholic Acid","St_Abundance","Actinomyces.oris",0.840270064379967,"Secondary BA"
"Dehydrolithocholic Acid.Actinomyces.naeslundii.St_Abundance",-7.57278989997043,14.7678991834162,43,-0.512787215426985,0.610724532515929,"Dehydrolithocholic Acid","St_Abundance","Actinomyces.naeslundii",0.712789002566224,"Secondary BA"
"Dehydrolithocholic Acid.Saccharomyces.cerevisiae.St_Abundance",-12.1339606498206,11.9268694924494,43,-1.01736341271297,0.314670872762495,"Dehydrolithocholic Acid","St_Abundance","Saccharomyces.cerevisiae",0.439705203912311,"Secondary BA"
"Dehydrolithocholic Acid.Rothia.mucilaginosa.St_Abundance",10.8620524666942,11.0785680298114,43,0.980456358390853,0.332345330327935,"Dehydrolithocholic Acid","St_Abundance","Rothia.mucilaginosa",0.458034104278826,"Secondary BA"
"Dehydrolithocholic Acid.Clostridium.sp..C105KSO14.St_Abundance",4.83221663956674,2.30170614543437,43,2.09940641169676,0.0416873260285449,"Dehydrolithocholic Acid","St_Abundance","Clostridium.sp..C105KSO14",0.0918263291149317,"Secondary BA"
"Dehydrolithocholic Acid.Roseburia.intestinalis.St_Abundance",-1.4818634220537,1.50913847199535,43,-0.981926741350918,0.331628711953743,"Dehydrolithocholic Acid","St_Abundance","Roseburia.intestinalis",0.457242416996029,"Secondary BA"
"Dehydrolithocholic Acid.Blautia.sp..VE303.05.St_Abundance",0.880803308806227,0.894661024287752,43,0.984510652520538,0.330371901882197,"Dehydrolithocholic Acid","St_Abundance","Blautia.sp..VE303.05",0.456077383486888,"Secondary BA"
"Dehydrolithocholic Acid.Anaerotruncus.colihominis.St_Abundance",3.92348659242205,6.30922875818637,43,0.62186469104187,0.537314284205189,"Dehydrolithocholic Acid","St_Abundance","Anaerotruncus.colihominis",0.648893254977051,"Secondary BA"
"Dehydrolithocholic Acid.Eggerthella.lenta.St_Abundance",14.5365609100195,5.20222874894896,43,2.79429483237476,0.00773855012238825,"Dehydrolithocholic Acid","St_Abundance","Eggerthella.lenta",0.0229374905010144,"Secondary BA"
"Dehydrolithocholic Acid.Roseburia.inulinivorans.St_Abundance",6.41676835691454,3.11798899906456,43,2.05798300085076,0.045685661250242,"Dehydrolithocholic Acid","St_Abundance","Roseburia.inulinivorans",0.0992066756115991,"Secondary BA"
"Dehydrolithocholic Acid.Roseburia.intestinalis.CAG.13.St_Abundance",-2.09496648600633,2.59713787243587,43,-0.806644309584324,0.424310592250097,"Dehydrolithocholic Acid","St_Abundance","Roseburia.intestinalis.CAG.13",0.550345982930555,"Secondary BA"
"Dehydrolithocholic Acid.X.Clostridium..symbiosum.St_Abundance",2.86049595190082,0.863754004320663,43,3.31170210220974,0.00188534382106825,"Dehydrolithocholic Acid","St_Abundance","X.Clostridium..symbiosum",0.00710816615305452,"Secondary BA"
"Dehydrolithocholic Acid.Clostridioides.difficile.St_Abundance",1.60115850492987,1.11375113762299,43,1.43762681881262,0.157777888035962,"Dehydrolithocholic Acid","St_Abundance","Clostridioides.difficile",0.260881073482598,"Secondary BA"
"Dehydrolithocholic Acid.Blautia.producta.St_Abundance",0.468915157528612,2.4334995202006,43,0.192691699191277,0.848107641885949,"Dehydrolithocholic Acid","St_Abundance","Blautia.producta",0.892657233285947,"Secondary BA"
"Dehydrolithocholic Acid.Actinomyces.sp..ICM47.St_Abundance",24.3454511280374,17.0385398982609,43,1.42884609088613,0.160272966437343,"Dehydrolithocholic Acid","St_Abundance","Actinomyces.sp..ICM47",0.264123935466305,"Secondary BA"
"Dehydrolithocholic Acid.Blautia.coccoides.St_Abundance",3.57947477412105,2.44702033512799,43,1.46278914103664,0.150796471539044,"Dehydrolithocholic Acid","St_Abundance","Blautia.coccoides",0.252386912552467,"Secondary BA"
"Dehydrolithocholic Acid.Lachnoclostridium.sp..MP625H6_ig1.St_Abundance",-0.916047974083051,8.48858547936916,43,-0.107915267662608,0.914564882596195,"Dehydrolithocholic Acid","St_Abundance","Lachnoclostridium.sp..MP625H6_ig1",0.938045180172018,"Secondary BA"
"Dehydrolithocholic Acid.Lachnoclostridium.sp..MP403G7.St_Abundance",1.99149133414968,6.8860465452584,43,0.289206777947353,0.773812973022208,"Dehydrolithocholic Acid","St_Abundance","Lachnoclostridium.sp..MP403G7",0.841163603596221,"Secondary BA"
"Dehydrolithocholic Acid.Lachnospiraceae.bacterium.7_1_58FAA.St_Abundance",0.154090007294453,1.08603687776288,43,0.141882849882466,0.887835227233204,"Dehydrolithocholic Acid","St_Abundance","Lachnospiraceae.bacterium.7_1_58FAA",0.919793640114176,"Secondary BA"
"Dehydrolithocholic Acid.Roseburia.inulinivorans.CAG.15.St_Abundance",6.60832345989281,3.34266705125551,43,1.97696131818175,0.0544807729139394,"Dehydrolithocholic Acid","St_Abundance","Roseburia.inulinivorans.CAG.15",0.114441649700346,"Secondary BA"
"Dehydrolithocholic Acid.Lachnoclostridium.sp..MP625H7_ig1.St_Abundance",-0.495730292039061,3.76918290767797,43,-0.131521951622257,0.895975882518258,"Dehydrolithocholic Acid","St_Abundance","Lachnoclostridium.sp..MP625H7_ig1",0.925323840134463,"Secondary BA"
"Dehydrolithocholic Acid.Anaeromassilibacillus.sp..An250.St_Abundance",8.43663585043159,4.39337260785604,43,1.9203096580849,0.0614671185984536,"Dehydrolithocholic Acid","St_Abundance","Anaeromassilibacillus.sp..An250",0.127083415887256,"Secondary BA"
"Dehydrolithocholic Acid.Absiella.sp..VE303.07.St_Abundance",-0.225096169408838,1.05926693835884,43,-0.21250183618266,0.832719718140424,"Dehydrolithocholic Acid","St_Abundance","Absiella.sp..VE303.07",0.881654852194108,"Secondary BA"
"Dehydrolithocholic Acid.Lachnoclostridium.sp..VE303.01.St_Abundance",6.60025823831823,2.96523994312055,43,2.22587661198583,0.0313157025230073,"Dehydrolithocholic Acid","St_Abundance","Lachnoclostridium.sp..VE303.01",0.0727420002267906,"Secondary BA"
"Dehydrolithocholic Acid.Tyzzerella.sp..MP10F1re.St_Abundance",-0.763648072241303,1.09565057121523,43,-0.696981402925125,0.489565599543118,"Dehydrolithocholic Acid","St_Abundance","Tyzzerella.sp..MP10F1re",0.609068846472211,"Secondary BA"
"Dehydrolithocholic Acid.Anaerostipes.caccae.St_Abundance",1.31058731424428,1.65114627888123,43,0.793743916579155,0.431703086060303,"Dehydrolithocholic Acid","St_Abundance","Anaerostipes.caccae",0.557461202477388,"Secondary BA"
"Dehydrolithocholic Acid.X.Ruminococcus..gnavus.St_Abundance",-1.26878941557784,2.37959610043767,43,-0.533195282739149,0.596643681473094,"Dehydrolithocholic Acid","St_Abundance","X.Ruminococcus..gnavus",0.699857954899304,"Secondary BA"
"Dehydrolithocholic Acid.X.Ruminococcus..gnavus.CAG.126.St_Abundance",1.52665072901668,2.26189477619604,43,0.674943301997513,0.503324993852351,"Dehydrolithocholic Acid","St_Abundance","X.Ruminococcus..gnavus.CAG.126",0.620426669309759,"Secondary BA"
"Dehydrolithocholic Acid.Blautia.sp..HF29.St_Abundance",0.638177380802192,1.74723735308063,43,0.365249391948376,0.716715766229199,"Dehydrolithocholic Acid","St_Abundance","Blautia.sp..HF29",0.8012398866343,"Secondary BA"
"Dehydrolithocholic Acid.X.Clostridium..citroniae.St_Abundance",0.538168769183811,2.63121379257098,43,0.20453251298062,0.838902437297152,"Dehydrolithocholic Acid","St_Abundance","X.Clostridium..citroniae",0.886013214564086,"Secondary BA"
"Dehydrolithocholic Acid.Clostridia.bacterium.UC5.1.2G4.St_Abundance",0.431396087751684,2.64069620434386,43,0.163364527521966,0.87099683074672,"Dehydrolithocholic Acid","St_Abundance","Clostridia.bacterium.UC5.1.2G4",0.90812961831138,"Secondary BA"
"Dehydrolithocholic Acid.Blautia.sp..HF21_ig1.St_Abundance",0.887857796525144,1.18721592426203,43,0.747848624989624,0.458622120367332,"Dehydrolithocholic Acid","St_Abundance","Blautia.sp..HF21_ig1",0.581825932584355,"Secondary BA"
"Dehydrolithocholic Acid.Tyzzerella.nexilis.St_Abundance",4.77241359273766,3.92702793172435,43,1.21527365623858,0.230892420266947,"Dehydrolithocholic Acid","St_Abundance","Tyzzerella.nexilis",0.347473104154657,"Secondary BA"
"Dehydrolithocholic Acid.Hungatella.sp..MP558G09.St_Abundance",8.00943049370551,4.86871115408044,43,1.64508228979508,0.107244626026703,"Dehydrolithocholic Acid","St_Abundance","Hungatella.sp..MP558G09",0.1938722413164,"Secondary BA"
"Dehydrolithocholic Acid.X.Ruminococcus..sp..HK31.St_Abundance",3.2347788021102,4.27404005862543,43,0.75684335142861,0.453270882931181,"Dehydrolithocholic Acid","St_Abundance","X.Ruminococcus..sp..HK31",0.577314518616506,"Secondary BA"
"Dehydrolithocholic Acid.Fusicatenibacter.saccharivorans.St_Abundance",1.65676289083119,3.95501073403085,43,0.418902248880286,0.677372740248235,"Dehydrolithocholic Acid","St_Abundance","Fusicatenibacter.saccharivorans",0.768677040451067,"Secondary BA"
"Dehydrolithocholic Acid.Blautia.sp..HK34.St_Abundance",0.0592427117676164,2.53969736519044,43,0.0233266815879749,0.981497603554927,"Dehydrolithocholic Acid","St_Abundance","Blautia.sp..HK34",0.987021980310396,"Secondary BA"
"Dehydrolithocholic Acid.Blautia.sp..MP87G3.St_Abundance",3.77426890957774,2.76727538431812,43,1.36389350007092,0.179698414654133,"Dehydrolithocholic Acid","St_Abundance","Blautia.sp..MP87G3",0.288605125722103,"Secondary BA"
"Dehydrolithocholic Acid.Anaerotruncus.sp..VE303.02.St_Abundance",0.860397501703226,0.907094665004494,43,0.948520077228062,0.348165352060075,"Dehydrolithocholic Acid","St_Abundance","Anaerotruncus.sp..VE303.02",0.474449056027628,"Secondary BA"
